abandon,"vt放弃,遗弃	vt放任,狂热"
insight,n.洞察力，见识	
inspire,vt.吸（气），鼓舞，感动，激发，启示	vi.吸入，启发灵感
instrument,n.工具，手段，器械，器具	
insurance,n.保险，保险单，保险业，保险费	
integrate,vt.使成整体，使一体化，求…的积分	v.积分
integrity,n.正直，诚实，完整，完全，完整性	
intellectual,adj.智力的，有智力的	n.知识分子
intelligence,n.智力，聪明，智能	
intensive,adj.强烈的，精深的，透彻的	n.加强器
intent,"n.目的,意图	adj.专心的,决心的"
interference,n.冲突，干涉	
interpret,v.解释，说明，口译，通译，	
invade,vt.侵入;侵略(别国);侵犯(主权等)	
investigate,v.调查，研究	
involve,vt.包括，笼罩，潜心于，使陷于	
irritate,vt.激怒，使急躁	v.刺激
isolate,vt.使隔离，使孤立，使绝缘，离析	n.隔离种群
judge,n.法官，审判员，裁判员，鉴赏家，鉴定人	vt.审理，鉴定，判断，判决，
junction,n.连接，接合，交叉点，汇合处	
jungle,n.丛林	n.生死关头
justify,v.证明…是正当的	
kin,n.家属，（集合称），亲戚，同族，血缘关系，	adj.有亲属关系的，性质类似的
lamp,n.灯	vt.照亮
landscape,n.风景，山水画，地形，前景	v.美化
lawsuit,n.诉讼	
leakage,n.漏，泄露，渗漏	
legacy,n.遗赠（物），遗产	
legitimate,adj.合法的，合理的，正统的，	v.合法
liability,n.责任，义务，倾向，债务，负债	
liberal,n.自由主义者，	adj.慷慨的，宽大的，不拘泥的
literature,n.文学（作品），文艺，著作，文献	
lobby,n.大厅，休息室，	vi.游说议员，经常出入休息室
loyalty,n.忠诚，忠心	
luxury,n.华贵	
magnify,vt.放大，扩大，赞美，夸大，夸张	vi.有放大能力
make sense,v.有意义	
malicious,adj.怀恶意的，恶毒的	
managerial,adj.管理的	
manipulate,vt.（熟练地）操作，操纵（人或市价、市场）	vt.(熟练地）操作，巧妙地处理
manufacture,vt.制造，加工	n.制造，制造业，产品
marathon,n.[体]马拉松赛跑，耐力的考验	
maritime,adj.海上的，海事的，海运的，海员的	
masculine,adj.男性的，男子气概的	n.男子，男孩
mastery,n.掌握	
matter-of-fact,adj.实质的，事务性的，平常的	
maturity,n.成熟，完备，（票据）到期	
meaningful,adj.意味深长的	
measure,v.尺寸，度量器，两度标准，方法，测量，	v.测量，估量，分派，权衡，调节
mere,adj.仅仅的，起码的，纯粹的	
merit,n.优点，价值	v.有益于
meteorite,n.陨星	
migrant,n.候鸟	n.移民，侨民
mild,adj.温和的，温柔的，淡味的，轻微的，适度的	
military,adj.军事的，军用的	
minority,n.少数，少数民族	
mixture,n.混合，混合物，混合剂	
mobility,n.活动性，灵活性，迁移率，机动性	
modest,"adj,谦虚的,适度的	"
modify,vt.更改，修改	v.修改
mood,n.心情，情绪，语气，状态	
moral,adj.道德上的，精神的	n.道德
motivate,v.激发	
muscle,n.肌肉，臂力，	
mystery,n.神秘，神秘的事物	
myth,n.神话，虚构的故事，荒诞的说法	
nasty,adj.肮脏的，令人厌恶的，下流的，凶相的，威胁的	
navigation,n.航海，航空，导航，领航	
negative,n.否定，负数，底片	adj.否定的，消极的，负的，阴性的
neglect,vt.忽视，疏忽，漏做	n.忽视，疏忽，漏做
neutral,n.中立者，中立国，非色彩，齿轮的空档	adj.中立的，中立国的，中性的，无确定性质的
nonetheless,adv.虽然如此，但是	
nuclear,adj.[核]核子的，原子能的，核的，中心的	
obedient,adj.服从的，孝顺的	
objective,n.目标，目的，宾格	adj.客观的，[语法]宾格的
oblige,"vt.迫使，责成	v感谢,感激"
observe,vt.观察，观测，遵守，评述	
obsession,n.迷住，困扰	
obstacle,n.障碍，妨碍物	
opponent,adj.对立的，对抗的	n.对手，反对者
optimistic,adj.乐观的	
ordinary,adj.平常的，普通的，平凡的	n.[律]推事
organ,n.器官	n.元件
orient,n.东方，东方诸国（自地中海以东各国）	adj.东方的，上升的，灿烂的
origin,n.起源，由来，起因，出身，传统	
overlook,vt.俯瞰，耸出，远眺，	n.眺望，俯瞰中的景色
overwhelm,vt.淹没，覆没，受打击，制服，压倒	
paradox,n.似非而是的论点，自相矛盾的话	
parallel,adj.平行的，相同的，类似的，并联的	n.平行线，平行面，类似，相似物
parameter,n.参数，参量	
participant,.参与者，共享者.	adj.参与的
particular,n.细节，详细	adj.特殊的，特别的，独特的，详细的，精确的
passage,n.通过，经过，通道，通路	段落
patch,n.片，补缀，碎片，斑纹，斑点，眼罩	vt.修补，补缀，掩饰，平息
pattern,n.模范，式样，模式，样品，格调，图案	vt.模仿，仿造，以图案装饰
payoff,n.发工资，付清，盈利，报应，贿赂	adj.决定性的
perceive,vt.察觉	v.感知，感到，认识到
performance,n.履行，执行，成绩，性能，表演，演奏	
permanent,adj.永久的，持久的	
persist,vi.坚持，持续	
pessimistic,adj.悲观的，厌世的	
physically,adv.身体上地	
politician,n.政治家，政客	
pollute,vt.弄脏，污染	
possession,"n.有,所有,拥有;占有	"
postpone,vt.推迟，使延期，延迟	
potential,adj.潜在的，可能的，势的，位的	n.潜能，潜力，电压
poverty,n.贫穷，贫困，贫乏，缺少	
practical,adj.实际的，实践的，实用的，有实践经验的	
praise,vt.赞扬，歌颂，赞美	n.赞扬，赞美，荣耀，称赞
precedent,n.先例	
precise,adj.精确的，准确的	n.精确
predict,v.预知，预言，预报	
predominate,vt.掌握，控制，支配，	vi.统治，成为主流，支配，占优势
preface,n.序文，绪言，前言	vi.作序，写前言
pregnant,adj.怀孕的，重要的，富有意义的，孕育的	
prejudice,n.偏见，成见，损害，侵害	v.损害
premium,n.额外费用，奖金，奖赏，保险费	
pressure,n.压，压力，电压，压迫，强制，紧迫	
presume,vt.假定，假设，认为	
prevalence,n.流行	
prevent,v.防止，预防	
previous,adj.在前的，早先的	adv.在…以前，返回上一级菜单
priest,n.牧师	
primary,adj.第一位的，初级的，主要的，初步的	n.[常用复数]主要事物
primate,"n.首领，大主教	adj.首要的,第一的，"
primitive,adj.原始的，远古的，粗糙的，简单的	
principal,"n.负责人,首长	adj.主要的；最重要的"
priority,n.先，前。优先，优先权	
privacy,n.独处而不受干扰，秘密	
procedure,n.程序，手续	
proclaim,vt.宣布，声明，显示，显露	
profound,"adj.深刻的,意义深远的	"
profound,dj.深刻的，意义深远的，渊博的，造诣深的.	
prohibit,vt.禁止，阻止	
prominent,adj.卓越的，显著的，突出的	
promote,t.促进，发扬，提升，提拔，晋升为.	
prompt,adj.敏捷的，迅速的，即时的	adv.准时地
proportion,n.比例，均衡，面积，部分	vt.使成比例，分摊，使均衡
propose,vt.计划，建议，向…提议，求（婚）	vi.打算，求婚
prospect,n.景色，前景，前途，期望	vi.寻找，勘探
prosperous,adj.繁荣的	
protend,v.(使）伸出，（使）伸展	
provision,n.供应，（一批）供应品，预备，防备，规定	
purchase,vt.买，购买	n.买，购买
pure,adj.纯的，纯粹的，纯净的，无垢的，纯洁的	
pursuit,n.追击	
qualitative,adj.性质上的，定性的	
racial,adj.人种的，种族的，种族间的	
radical,adj.根本的，基本的，激进的	n.激进分子
rainforest,雨林	
raise,n.上升，高地，提出	vt.升起，唤起，提高，解除，饲养，筹集
rare,adj.稀罕的，杰出的，珍贵的	adv.非常
rational,adj.理性的，合理的，推理的	n.有理数
raw,n.生肉，擦伤处，身上的痛处	adj.未加工的，不掺水的，生疏的，阴冷的
real estate,n.房地产，房地产所有权	
reality,n.真实，事实，本体，逼真	
reasonable,adj.合理的，有道理的，通情达理的，讲道理的	
recession,"n.撤回,退回,退后,工商业之衰退,不景气	"
recommendation,n.推荐，介绍（信），劝告，建议	
recurrence,n.复发，重现，循环	
refine,vt.精炼，精制，使文雅高尚	
reform,n.改革，改善，改良运动，感化	vt.改革，革新，重新组成
regulate,vt.管制，控制，调节，校准	
reinforce,vt.加强，增援，补充，修补，加固	vi.求援，得到增援
release,n.释放，让渡，豁免，发行的书，释放证书	vt.释放，解放，放弃，发表
reliance,n.信任，信心，依靠，依靠的人或物	
relief,n.（痛苦等的）减轻，（债务等的）免除，救济	
religious,adj.信奉宗教的，虔诚的，宗教上的，严谨的	n.尼姑，修道士
reluctant,"adj.不愿意的,勉强的	"
remote,adj.遥远的，偏僻的，细微的	
represent,vt.表现，描绘，声称，象征，扮演，回忆	vi.提出异议
reproduce,v.繁殖，再生，复制，使…在脑海中重现	
reputation,n.名誉，名声	
rescue,vt.援救，营救	n.援救，营救
resemble,vt.象，类似	
reserve,n.储备物，储藏量，预备队	vt.储备，保存，保留，预定，预约
resident,n.居民，居住者	adj.居住的，常住的
resign,n.辞去（职务）	v.辞去，辞职
resist,v.抵抗	
respond,v.回答，响应，作出反应	vi.有反应
responsible,adj.有责任的，可靠的，可依赖的，负责的	
restrict,vt.限制，约束，限定	
reveal,vt.展现，显示，揭示，暴露	
revenge,n.报仇，复仇，	vt.替…报仇，复仇
revenue,n.收入，税收，国家的收入	
reward,n.报酬，奖金	vt.酬劳，奖赏
ridiculous,adj.可笑的	
rigorous,adj.严格的，严厉的，严酷的，严峻的	
ritual,n.典礼，礼节，（宗教）仪式	adj.典礼的，仪式的
route,n.路线，路程，通道	v.发送
rust,n.铁锈	vt.（使）生锈
sacrifice,n.牺牲，献身，祭品，供奉	v.牺牲，献出，献祭，供奉
sake,n.为了…起见，缘故，理由，出于对…的兴趣	
salvation,n.拯救，救助	
satellite,n.人造卫星	
satisfy,vt.满足，说服，使满意，使相信	
saturate,v.使饱和，浸透，使充满	
scorn,.轻蔑，嘲笑，被叱责的人.	vt.轻蔑，不屑做
scream,v.尖声叫，尖声叫喊	n.尖叫声，喊叫声，
sedentary,adj.久坐的，坐惯的，土生的，沉积的	n.惯于久坐的人
segment,n.段，节，片段	v.分割
seldom,adv.很少，不常	
seminate,vt.传播，散布，播种于	
shaky,adj.虚弱的，颤抖的，不安的，不可靠的摇晃的	
shed,vt.流出，发散，散发，脱皮，摆脱	n.分水岭，小屋棚，工棚，货棚
shift,n.移动，轮班，移位，变化，办法，手段	vt.替换，转移，改变，移转，推卸，变速
shortfall,n.不足，不足量	
significant,adj.有意义的，重大的，重要的	
silence,n.静，寂静，沉默，静默	vt.使沉默，使安静
simulate,vt.模拟，模仿，假装，冒充	
sin,n.罪，罪恶	
slack,n.松弛，静止，淡季，闲散	adj.松弛的，不流畅的，疏忽的，软弱的，呆滞的
slice,n.薄片，切片，一份，部分，片段	v.切（片）
slip,n.滑倒，事故，片，纸片	adj.滑动的，活络的，有活结的
solvable,adj.可以解的，可以解决的	
somewhat,adv.稍微，有点，有些	
sophisticate,n.久经世故的人，老油条，精于…之道的人	vt.篡改，曲解，掺合，弄复杂
species,n.种类，（原）核素，[律]式样	
specify,vt.指定，详细说明，列入清单	
spectacle,n.观览物，展览物，公开展示，奇观，景象	
spirit,n.精神，灵魂，幽灵，妖精，勇气，火力，热情	vt.诱拐，鼓励，鼓舞
splendid,adj.壮丽的，辉煌的，极好的	
spoil,vt.损坏，搞糟，宠坏，溺爱	v.扰乱
spread,n.伸展，展开，传播，蔓延，酒席	v.伸展，展开，铺，涂，敷，传播，散布
squeeze,n.压榨，挤	v.压榨，挤，挤榨
stability,n.稳定性	
stake,"n.树桩	n.赌金,奖品"
standardize,vt.使标准化，使符合标准	
starve,vt.使俄死	
status,n.身份，地位，情形，状况	
stem,n.茎，干，词干，茎干	v.滋生，阻止
stimulate,vt.刺激，激励	v..刺激，激励
stockholder,n.股东	
strangler,扼杀者，压制者	
strategic,adj.战略的，战略上的	
strengthen,v.加强，巩固	
strive,v.努力，奋斗，力争，斗争	
stubborn,adj.顽固的，固执的，坚定的，坚决的，难应付的	
stun,vt.使晕倒，使惊吓，打晕	n.晕眩，打昏，惊倒
subject to,v.使服从，使遭受	
subsidiary,n.辅[帮]助的	
substance,"n物质,本质	"
subtle,adj.狡猾的，敏感的，微妙的，精细的，稀薄的	
suburb,n.市郊，郊区	
successive,adj.继承的，连续的	
sue,vt.控告，向…请求，请愿	vi.提出诉讼，提出请求
suffer,vt.遭受，经历，忍受	vi.受痛苦，受损害
sufficient,adj.充分的，足够的	
superficially,adv.浅薄的	
superiority,n.优越，高傲	
supreme,adj.极度的，极大的，至高的	
surge,n.巨涌，汹涌，澎湃	vi.汹涌，澎湃，振荡，滑脱，放松
surgeon,n.外科医生	
surpass,vt.超越，胜过	
survival,n.生存，幸存，残存，幸存者，残存物	
suspicious,adj.(~of).可疑的，怀疑的	
swamp,n.沼泽，湿地，	v.陷入沼泽，淹没，覆没
symbol,n.符号，记号，象征	
sympathy,n.同情，同情心	
symptom,n.症状，征兆	
synthesize,v.综合，合成	
tailor,n.裁缝	vt.裁缝，缝制（衣服），适应，适合
tenable,"adj.守得住的,可防守的	adj.站得住脚的"
territory,n.领土，版图，地域	
testify,v.证明，证实，作证	
testimony,n.证词，宣言，陈述	
theory,n.理论，学说，原理，意见，推测	
therapy,n.治疗	
thoroughly,adv.十分的，彻底地	
thrive on,以旺盛	
tighten,v.变紧，绷紧，拉紧	
tilt,v.倾斜；（使）翘起	v争论
torpedo,n.鱼雷，油井爆破筒	v.用鱼雷进攻，破坏
touchable,adj.可触的，可食用的	
tough,adj.强硬的，艰苦的，坚强的，坚韧的，强壮的	
tragedy,n.悲剧，惨案，悲惨，灾难	
trait,n.显著的特点，特性	
trick,n.诡计，骗局，恶作剧，窍门，诀窍	vt.欺骗，哄骗
typical,adj.典型的，象征性的	
ultimate,adj.最后的，最终的，根本的	n.最终
undergo,vt.经历，遭受，忍受	
uniform,adj.统一的，相同的，一致的，均衡的	n.制服
universe,n.宇宙，世界，万物，领域	
unorthodox,adj.非正统的，异教的，异端的	
urban,adj.城市的，市区的	
urge,vt.催促，力劝	n.强烈愿望，迫切要求
utilize,vt.利用	
vary,vt.改变，变更，是多样化	vi.变化，不同，违反
venture,n.冒险，投机，风险	v.冒险，冒昧，斗胆
victim,n.受害人，牺牲者，牺牲品	
vigor,n.精力，活力	
violence,n.猛烈，强烈，暴力，暴行，强暴	
virtually,adv.事实上，实质上	
vital,adj.生死攸关的，重大的，生命的，生机的	
vitamin,n.维他命，维生素	
vocal,adj.发噪音的，声音的，有声的，歌唱的	n.元音，声乐作品
vulnerable,adj.易受攻击的，易受…攻击	
wilful,adj.任性的;固执的	
wipe,v.擦，揩，擦去	
yield,v.出产，生长，生产	vi.（~to）屈服，屈从
