initially,ad.最初，开始
unfold,vt.展开vi.呈现
cling,vi.粘住；依附；坚持
viscous,a.粘滞的，粘性的
coherent,a.粘着的；紧凑的
album,n.粘贴簿；相册；文选
glue,vt.粘牢
cement,vt.粘结vi.粘紧
adhere,vi.粘附；追随；坚持
strip,n.窄条，长带
further,vt.增进
multiplication,n.增加；繁殖；乘法
liability,n.责任；倾向；债务
shipbuilding,n.造船(业)，造船学
grasshopper,n.蚱蜢，蝗虫，蚂蚱
wink,vi.眨眼；使眼色
mint,n.造币厂；巨额，富源
hollow,vt.凿空vi.变空
hymn,n.赞美诗，圣歌；赞歌
glorify,vt.赞美(上帝)；颂扬
fore,ad.在前面a.先前的
therein,ad.在那里，在那时
overseas,ad.在海外，(向)国外
ashore,ad.在岸上，上岸
outside,prep.在…外，向…外
brand,vt.在…上打烙印
alongside,prep.在…旁边
Roam,vt.在…漫步，漫游
over,prep.在(做)…时
reproduction,n.再生(产)；繁殖
operation,n.运算
freight,n.运费；货运；负担
specification,n.载明，详述；规格
disastrous,a.灾难性的；悲惨的
locomotive,a.运动的；机动
lunar,a.月亮的
dome,n.圆屋顶，拱顶
cylinder,n.圆筒；柱(面)；汽缸
undertake,vt.约定，保证；从事
primitive,a.远古的，未开化的
prototype,n.原型；典型，范例
vowel,n.元音；元音字母
satisfactorily,ad.圆满地
nucleus,n.原子核；细胞核
marshal,n.元帅；陆军元帅
subscription,n.预约，用户，订阅费
prophet,n.预言家，先知
prophecy,n.预言，预言能力
prediction,n.预言，预告；预报
preset,vt.预先装置
beforehand,ad.预先；提前地
budget,n.预算，预算案
foresee,vt.预见，预知，看穿
prevention,n.预防，阻止，妨碍
tulip,n.郁金香
intonation,n.语调，声调；发声
cosmic,a.宇宙的；广大无边的
cosmos,n.宇宙；秩序，和谐
overlap,vt.与…交搭vi.重迭
excuse,vt.与…辩解；使免除
senseless,a.愚蠢的，无意义的
amusement,n.娱乐，消遣，乐趣
torpedo,n.鱼雷，水雷
margin,n.余地；幅度；赚头
roundabout,a.迂回的；转弯抹角的
kidnap,vt.诱拐，绑架
guilt,n.有罪，犯罪；内疚
shadowy,a.有影的；幽暗的
avail,vt.有益于n.效用
ambitious,a.有雄心的；热望的
significant,a.有效的
validity,n.有效，效力；正确
availability,n.有效(性)；可得性
finite,a.有限的；有尽的
magnet,n.有吸引力的人(或物
profitable,a.有利的；有益的
advantageous,a.有利的，有助的
courteous,a.有礼貌的，谦恭的
bead,n.有孔小珠；露珠
commonsense,a.有常识的
conservative,a.有保存力的，防腐的
liable,a.有(法律)责任的
yacht,n.游艇，快艇
uranium,n.铀
tanker,n.油船；空中加油飞机
postal,a.邮政的，邮局的
superiority,n.优越(性)，优势
elbow,vt.用肘挤，挤进
paper,vt.用纸包装(或覆盖)
cutter,n.用于切割的器械
net,vt.用网捕；用网覆盖
head,vt.用头顶(球)vi.出发
tug,vi.用力拖n.猛拉，拖
hook,vt.用钩连接，用钩挂
formulate,vt.用公式表示
sniff,vi.用鼻子吸vt.嗅
courageous,a.勇敢的，无畏的
emigrate,vi.永久移居国外
perpetual,a.永久的；四季开花的
everlasting,a.永久的；持久的
periodic,n.周期的；一定时期的
stiffness,n.硬度
comply,vi.应允，遵照，照做
bound,a.应当的；必定的
salute,vt.迎接，欢迎
cater,vi.迎合，投合
press,n.印刷机，印刷所
printer,n.印刷工；印花工
harbour,vt.隐匿，窝藏；怀着
eternal,n.永久的；不朽的
tempt,vt.引诱，诱惑，劝诱
cite,vt.引用，引证；举例
ignite,vt.引燃vi.着火
derivation,n.引出；起源；衍生
banker,n.银行家
obscure,a.阴暗的；蒙昧的
inasmuch,ad.因为，由于
through,prep.因为，由于
observation,n.意见，短评，按语
consciousness,n.意识，知觉，觉悟
cross,a.易怒的；杂交的
refrain,vi.抑制，制止，忍住
restrain,vt.抑制，制止，遏制
singular,a.异常的，奇异的
house,n.议院，会议厅
obligation,n.义务，职责，责任
formerly,ad.以前，从前
desert,vt.遗弃；擅离(职守)
transmission,n.遗传，传染
veil,vt.以面纱遮掩vi.遮盖
forsake,vt.遗弃，抛弃，摒绝
displace,vt.移置；取代；置换
displacement,n.移置；免职；置换
garment,n.衣服；服装，衣着
colonist,n.移民；殖民地居民
Islam,n.伊斯兰教，回教
instrumental,a.仪器的；有帮助的
evenly,ad.一致地，平静地
wardrobe,n.衣柜，衣橱，藏衣室
compatible,a.一致的；兼容制的
stitch,n.一针，缝线vt.缝
concert,n.一齐，一致，协作
chop,n.一块排骨，肉块
baby,n.一家中年龄最小的人
troop,n.一群，一队，大量
episode,n.一段情节；插曲
cluster,n.一串vt.使成群
generalization,n.一般化；概括，综合
burglar,n.夜盗，窃贼
amateur,a.业余的n.业余爱好者
Jesus,n.耶稣
metallurgy,n.冶金学，冶金术
fort,n.要塞，堡垒
prescription,n.药方，处方的药
postulate,vt.要求，假定，假设
wag,vt.摇，摇摆，摆动
cradle,n.摇篮，发源地
oxide,n.氧化物
waver,vi.摇摆；犹豫不决
domestic,a.养在家里的
oxidize,vt.氧化，使生锈
banquet,n.宴会，盛会，酒席
foster,vt.养育，抚养；培养
anode,n.阳极，正极，板极
balcony,n.阳台；楼厅，楼座
scope,n.眼界
proverb,n.谚语，格言，箴言
cloak,vt.掩盖，覆盖，掩饰
prolong,vt.延长，拉长，拖延
sharply,ad.严厉地，苛刻地
pickle,n.腌制食品，泡菜
squash,vt.压碎n.鲜果汁
retard,vt.延迟，放慢
squeeze,n.压榨；榨取，佣金
dentist,n.牙科医生
overwhelming,a.压倒的，势不可挡的
opium,n.鸦片；麻醉剂
overwhelm,vt.压倒，使不知所措
deposit,n.押金；寄存物
velocity,n.迅速，快速
compression,n.压缩，压紧，浓缩
patrol,n.巡逻n.巡逻，巡查
circulation,n.循环；(货币等)流通
scholarship,n.学问，学识；奖学金
cruise,vi.巡航vt.巡航于…
option,n.选择，取舍
cigar,n.雪茄烟，叶卷烟
cock,n.旋塞，开关，龙头
quest,vt.寻找vi.追求
melody,n.旋律，曲调；歌曲
radiant,a.绚丽的；容光焕发的
gorgeous,a.绚丽的；极好的
overhang,vt.悬于…之上vi.悬垂
narration,n.叙述；故事；叙述法
propaganda,n.宣传；宣传机构
warrant,n.许可证，委任状
console,n.悬臂，肘托；控制台
declaration,n.宣布，宣言；申诉
sequence,n.序列
nun,n.修女，尼姑
embroidery,n.绣花，刺绣；绣制品
eloquence,n.雄辩；口才，修辞
requisite,a.需要的n.必需品
pacific,a.性情温和的
survival,n.幸存，残存；幸存者
flush,n.兴奋，脸红；发烧
wind,n.胸口，心窝
formal,a.形态的；规范的
directory,n.姓名地址录；董事会
constituent,a.形成的n.选民
scarlet,n.猩红色a.猩红的
regenerative,a.新生的；回授的
religion,n.信念，信条
appreciation,n.欣赏；鉴别；感激
novelty,n.新颖；新奇的事物
psychology,n.心理学；心理
bridegroom,n.新郎
zinc,n.锌vt.在…上镀锌
novel,a.新的，异常的
jean,n.斜纹布，牛仔裤
crab,n.蟹，蟹肉vi.捕蟹
gradient,n.斜坡a.倾斜的
subscript,a.写在下方的n.下标
evil,n.邪恶，罪恶；祸害
sideways,ad.斜向一边地
collaborate,vi.协作，合作；协调
vicious,a.邪恶的；恶性的
team,vi.协作，合作
coefficient,n.协同因素；系数，率
wedge,n.楔vt.楔入；挤入
calibration,n.校准；标定，刻度
cautious,a.小心的，谨慎的
paragraph,n.小新闻，短评
caution,n.小心；告诫vt.警告
suitcase,n.小提箱，衣箱
decimal,a.小数的，十进制的
puppy,n.小狗；幼小的动物
footpath,n.小路，人行道
closet,n.小房间；壁碗橱
pamphlet,n.小册子
disappearance,n.消失，消散；失
recreation,n.消遣，娱乐活动萧条的；懈怠的
量,，灭绝
踪slack,a.
consumption,n.()
consumer,n.消费者，用户
token,n.象征；辅币；纪念品
depression,n.消沉；不景气萧条期
forward,ad.向前，将来vt.转递
ivory,n.象牙；牙质；乳白色onward(s)a.向前(的)，在前面
orientation,n.向东；定位；方向
defy,vt.向…挑战；蔑视
southwards,ad.向南方northward(s)ad.向北方a.向北的
yearn,vi.想念，怀念，向往
hail,vt.向…欢呼vi.招呼
pilgrim,n.香客，朝圣者
spice,n.香料，调味品；香气
fragrant,a.香的，芬芳的
analogy,n.相似，类似；比拟
incense,n.香，熏香；香气
uniformly,ad.相同地；一贯
resemblance,n.相似，相似性
correlation,n.相互关系；对射
interact,vi.相互作用
coincide,vi.相符合；相巧合
inversely,ad.相反地
striking,a.显著的，惊人的
qualify,vt.限制，限定，修饰
reciprocal,a.相互的；互利的
devotion,n.献身，热诚，专心
microscopic,a.显微镜的，微观的
realistic,a.现实的；现实主义的
distinctly,ad.显然，清楚地
linear,a.线的；长度的
bacon,n.咸猪肉，熏猪肉
apparent,a.显然的
gossip,n.闲谈；碎嘴子；漫笔
ramble,vi.闲逛，漫步；聊天
shower,vi.下阵雨vt.使湿透
priority,n.先，前；优先，重点
decline,vt.下倾；偏斜；衰退
precede,vt.先于…vi.领先
descent,n.下降；出身；斜坡
subordinate,a.下级的，辅助的
slim,a.细长的；微小的
taper,n.细小的蜡烛；微光
petty,a.细小的；器量小的
inferior,n.下级；晚辈，次品
nice,a.细微的，微妙的
filament,n.细丝；长丝；灯丝
bacterium,n.细菌；拳击迷
systematically,ad.系统地，有规则地
lace,vi.系带，用带子束紧
spectrum,n.系列，范围；波谱
drama,n.戏剧性事件；戏剧性
germ,n.细菌，病原菌；幼芽
theatre,n.戏剧效果
comedy,n.喜剧；喜剧场面
quench,vt.熄灭，扑灭；压制
tape,vt.系，捆
assault,vt.袭击；殴打n.攻击
usage,n.习惯法
extinguish,vt.熄灭，扑灭；消灭
absorption,n.吸收；专注
intake,n.吸入；输入能量
substantial,a.物质的；坚固的
physically,ad.物质上；体格上
luncheon,n.午宴，午餐，便宴
body,n.物体；(液)体；实质
ignorance,n.无知，无学，愚昧
insignificant,a.无意义的；低微的
doubtless,ad.无疑地；很可能
iinfinitely,ad.无限地，无边地
ndefinite,a.无限期的
unlimited,a.无限的；不定的
infinite,n.无限；无穷(大)
incapable,a.无能力的；无资格的
fearless,a.无畏的，大胆的
unique,a.无可匹敌的；极好的
innumerable,a.无数的，数不清的
faultless,a.无过失的；无缺点的
inorganic,a.无生物的；无机的
foreign,a.无关的
ruthless,a.无情的，冷酷的
nought,n.无，零
filth,n.污秽，污物；淫猥
snail,n.蜗牛；行动缓慢的人
compliment,n.问候vt.赞美，祝贺
question,vt.问，询问，讯问
hum,n.嗡嗡声vt.哼曲子
literal,a.文字(上)的；字面的
illiterate,a.文盲的n.文盲
stationery,n.文具；信笺
plague,n.瘟疫，鼠疫；天灾
situated,a.位于…的
graze,vi.喂草；放牧(牲畜)
latitude,n.纬度；黄纬
softness,n.温和，柔和；软弱
commission,n.委托，委任；委托状
locality,n.位置，地点，发生地
vitamin,n.维生素，维他命
stern,n.艉，船尾；臀部
idealism,n.唯心主义；理想主义
unpaid,a.未付的；不支薪水的
Venus,n.维纳斯；美人；色情
bachelor,n.未婚男子；学士
mast,n.桅杆；杆vt.扯帆
violation,n.违犯；侵犯，妨碍
towards,prep.为了，有助于
enclosure,n.围绕；围场，围栏
catalogue,vt.为…编目录
violate,vt.违犯，违背；侵犯
subtle,a.微妙的；精巧的
plead,vt.为…辩护vi.抗辩
microprocessor,n.微信息处理机
calculus,n.微积分；结石
awful,a.威严的；令人崇敬的
atom,n.微粒；微量
microwave,n.微波
negligible,a.微不足道的
majesty,n.威严，尊严；陛下
gleam,n.微光vi.发微光
endanger,vt.危及，危害
prestige,n.威望，威信，声望
peril,n.危机；危险的事物
crisis,n.危机；转折点
dismiss,vt.忘掉
fro,ad.往，去，回，向后
mesh,n.网眼，筛孔，网络
web,n.网，丝，网状物
network,n.网络；广播网
trifle,vi.玩忽；闲混；嬉耍
crooked,a.弯的，歪的；畸形的
stubborn,a.顽固的；顽强的
completion,n.完成，结束，完满
hull,n.外壳，豆荚；薄膜
diplomatic,a.外交的；有策略的
strange,a.外地的，异乡的
alien,a.外国的n.外国人
distort,vt.歪曲，曲解，扭曲
twist,v.歪曲，曲解
ile,n.瓦片，瓷砖；贴砖
twatt,n.瓦(特)
elliptical,a.椭圆的；省略的
haul,vt.拖曳；拖运
hip,n.臀部，髋；屋脊
devour,vt.吞食；吞灭，毁灭
retirement,n.退休，引退；退隐
drawback,n.退款；妨碍；弊端
inference,n.推论；推断的结果
rational,a.推理的；适度的
propulsion,n.推进，推进力
propel,vt.推进，推动
recommendation,n.推荐，介绍；建
overthrow,vt.推翻n.推翻，瓦解推动，冲力；冲动推测起来，大概
议impulse,n.
presumably,ad.
gather,vt.推测，推断
shove,vt.推vi.(使劲)推
solidarity,n.团结；休戚相关
regiment,n.团，军团；一大群
bandit,n.土匪，盗匪，歹徒
lever,n.途径，工具，手段
overtake,vt.突然袭击，压倒
nose,n.突出部分(如船头等)
bald,a.秃头的；无毛的
projector,n.投影仪；探照灯
poll,n.投票vi.投票
dizzy,a.头晕眼花的，眩晕的
steal,vt.偷偷地做，巧取
misery,n.痛苦，悲惨，不幸
torment,n.痛苦vt.折磨
thrash,vt.痛打，鞭打vi.打
dominant,a.统治
dominate,vt.统治，支配，控制
statistics,n.统计，统计数字
identical,a.同一的；恒等的
的,n.主因
likeness,n.同样；类似，相似
even,a.同一日期的
homogeneous,a.同类的；均匀的
notify,vt.通知，告知；报告
simultaneous,a.同时的，同时存在的
advertise,vt.通知vi.登广告
coordinate,a.同等的n.同等的人
popularity,n.通俗性；普及，流行
accessory,n.同谋a.附属的
whilst,conj.同…同时；然而
correspondence,n.通信；符合；对
currency,n.通货；通用；市价通道；条目通货膨胀，物价飞涨
应entry,n.
inflation,n.
ordinarily,ad.通常，大概
customary,a.通常的；照惯例的
resignation,n.听从，屈从，顺从
hydrocarbon,n.烃，碳氢化合物
blacksmith,n.铁匠，锻工
skip,vi.跳；跳绳；略过
ferrous,a.铁的；亚铁的
hop,vi.跳舞；(人)单足跳
regulate,vt.调整，调节，对准
modulate,vt.调整，调节(声音)
overlook,vt.眺望；看漏；宽容
settlement,n.调停；(新)住宅区
adjoin,vt.贴近，毗连；靠近
mishief,n.调皮，捣蛋，胡闹
questionnaire,n.调查表，征求意见表
Catholic,a.天主教的n.天主教徒
sweetness,n.甜蜜；新鲜；温和
theme,n.题目；词干；主旋律
accord,n.调和，符合；协议
nominate,vt.提名，推荐；任命
dessert,n.甜点心
finance,vt.提供资金
astronomy,n.天文学
embody,vt.体现；包含，收录
nourish,vt.提供养分，养育
enhance,vt.提高，增加；夸张
elevate,vt.提高(思想)；抬高
raise,vt.提出，发起，发出
introduce,vt.提出(议案等)
peculiarity,n.特性，独特性；怪癖
purify,vt.提纯，精炼(金属)
individual,a.特殊的
essential,a.特发的；自发的
bore,n.讨厌的人；麻烦事
flee,vi.逃走vt.逃避
earthenware,n.陶器
outlaw,n.逃犯，歹徒
wade,vt.趟(河)，跋涉
probe,n.探针vt.用探针探查
expedition,n.探险；探险队
charcoal,n.炭，木炭；生物炭
plain,a.坦白的；普通的
greed,n.贪心，贪婪
negotiate,vi.谈判，交涉，议定
pedal,n.踏脚，踏板，脚蹬
moss,n.苔藓，地衣
thereof,ad.它的，其；由此
trivial,a.琐碎的；平常的
detail,n.琐碎，小事
concern,n.所关切的事；商行
what,a.所…的，尽可能多的
miniature,n.缩影a.缩小的
hurt,n.损伤，伤害，创伤
deformation,n.损坏；变形；畸形
deform,vt.损坏…的形状
replace,vt.送还，归还，赔还
scrap,n.碎片；废料vt.废弃
plastic,a.塑料的；塑性的
shorthand,n.速记，速记法
garlic,n.蒜，大蒜
perish,vi.死亡，夭折；枯萎
scout,vt.搜索，侦察，跟踪
random,n.随机a.随机的
fringe,n.穗，毛边；边缘
laundry,n.送洗衣店去洗的东西
hiss,n.嘶嘶声vi.嘶嘶作声
loosely,ad.松松地，松散地
rip,vi.撕啐，扯破，划破
rear,vt.饲养，培植；抚养
speculate,vi.思索，沉思；投机
smuggle,vt.私运vi.走私
confidence,n.私房话，秘密，机密
velvet,a.丝绒制的；柔软的
treasurer,n.司库，财务主管
exposition,n.说明，解释；陈列
observe,vi.说，评述，评论
preach,vt.说教，布道；鼓吹
momentary,a.瞬息间的，片刻的
instantaneous,a.瞬间的，即刻的
couch,n.睡椅，长沙发椅
slumber,n.睡眠；沉睡状态
numerical,a.数字的，数值的
buffalo,n.水牛；水陆坦克
rinse,vt.涮，嗽；冲洗
hydraulic,a.水力的；水力学的
harp,n.竖琴；天琴座
watery,a.水的；湿的；乏味的
reckon,vi.数，算帐vt.认为
wrestle,n.摔交；斗争，搏斗
terminology,n.术语学，术语
proficient,a.熟练的，精通的
proficiency,n.熟练，精通
erect,a.竖起的
manuscript,n.手稿，底稿，原稿
input,vt.输入n.输入
dependant,n.受赡养者；侍从
grant,n.授予物，拨款
handbook,n.手册，便览，指南
miser,n.守财奴，吝啬鬼
adoption,n.收养；采纳，采取
trolley,n.手推车；无轨电车
oath,n.誓言，誓约，宣誓
vow,n.誓言，誓约，许愿
wholesome,a.适合卫生的
revenue,n.收入；收入数目
indoor,a.室内的；室内进行的
pledge,n.誓言vt.使发誓
moderately,ad.适度地，适中
fitness,n.适当，恰当；健康
vision,n.视力；眼光，想象力
fitting,a.适当的n.配合
snob,n.势利小人
occurrence,n.事故
snobbish,a.势利的，谄上欺下的
influence,n.势力，权势
attendant,n.侍者；护理人员
municipal,a.市的，市立的
automate,vt.使自动化
conform,vt.使遵守vi.一致
divert,vt.使转向vi.转移
specialize,vt.使专门化，专业化
hazard,vt.使遭危险n.危险
standardize,vt.使与标准比较
distinguish,v.使显出特色，使杰出
lengthen,vt.使延长vi.变长
evaporate,vt.使脱水vi.发散蒸气
shame,vt.使羞愧，玷辱
resign,vt.使顺从，使听任于
freshen,vt.使显得新鲜
perfect,vt.使熟练，使改善
ventilate,vt.使通风，使换气
infect,vt.使受影响
soften,vt.使软化vi.变软弱
blaze,vt.使燃烧vi.燃烧
acquaint,vt.使认识，使了解
facilitate,vt.使容易；助长
lubricate,vt.使润滑vi.加润滑油
paralyse,vt.使麻痹，使瘫痪
subdue,vt.使屈服，征服
sorrowful,a.使人伤心的；悲伤的
suit,vt.使配合vi.彼此协调
subject,vt.使隶属
confront,vt.使面对；使对证
insulate,vt.使绝缘，使绝热
bend,vt.使屈从vi.屈从
deafen,vt.使聋；使隔音
integrate,vt.使结合，使并入
tiresome,a.使人厌倦的，讨厌的
moor,vt.使停泊；使固定
terrify,vt.使恐怖，使惊吓
alternate,vt.使交替a.交替的
minimize,vt.使减到最小
mingle,vt.使混合vi.混合起来
interconnect,vt.使互相联系
reconcile,vt.使和好；调停
enrich,vt.使富裕；使丰富
degrade,vt.使降给；使堕落
embarrass,vt.使负债；使复杂化
oblige,vt.使感激；施恩惠于
decay,vt.使腐朽，使腐烂
contrast,vt.使对比vi.形成对比
mature,vt.使成熟vi.成熟
tangle,vt.使缠结，使纠缠
ice,vt.使成冰vi.结冰
overload,vt.使超载
develop,vt.使(颜色等)显现
sweeten,vt.使变甜vi.变甜
nourishment,n.食物；营养(情况)
thicken,vt.使变厚(或粗、密)
experimentation,n.实验，试验；实验
缓步行进,实际上的，实质上的
jog,vt.()
法virtual,a.
establish,vt.使…被永久地接受
baffle,vt.使挫折n.迷惑
engage,vt.使(齿轮等)啮合
execution,n.实行，执行；处死刑
vector,n.矢量；飞机航线
quartz,n.石英
pantry,n.食品柜，餐具室
whitewash,n.石灰水vt.粉饰
experimentally,ad.实验上，实验性
limestone,n.石灰石石墨，石墨电极湿气；湿度
地graphite,n.
humidity,n.
verse,n.诗，韵文；诗行
handout,n.施舍物，救济品
unemployment,n.失业；失业人数
disgrace,n.失宠，耻辱，丢脸
residual,a.剩余的；残数的
remainder,n.剩余(物)；余数
stiff,a.生硬的
excel,vt.胜过vi.杰出
hide,n.生皮，兽皮，皮革
ecology,n.生态学；个体生态学
vital,a.生命的，生机的
producer,n.生产者；舞台监督
productive,a.生产的；出产…的
hoist,vt.升起vi.扯起来
productivity,n.生产率；多产
deliberately,ad.审慎地，故意地
kidney,n.肾，腰子；性格
censor,vt.审查，检查
shrine,n.神殿，神龛，圣祠
mystery,n.神秘小说，侦探小说
deliberate,a.深思熟虑的；审慎的
profound,a.深刻的；渊博的
trench,n.深沟；壕沟，战壕
editorial,n.社论，期刊的社论
photography,n.摄影术
sociology,n.社会学
conceive,vt.设想，以为；怀孕
divine,a.神的；敬神的
reject,vt.舍弃，抛弃；排斥
serpent,n.蛇(尤指大蛇或毒蛇)
maid,n.少女；处女
maiden,n.少女，未婚女子
extravagant,a.奢侈的；过度的
scorch,vi.烧焦，枯萎；挖苦
context,n.上下文；来龙去脉
Heaven,n.上帝，神
counsel,n.商议；忠告；律师
trader,n.商人；商船
tradesman,n.商人；手艺人
dealer,n.商人，贩子；发牌者
merchandise,n.商品，货物
blue,a.伤心的；下流的
ware,n.商品，货物；物品
shark,n.鲨鱼；贪婪狡猾的人
goodness,n.善良，善行，美德
gravel,n.砂跞；砂砾层；结石
underwear,n.衫衣，内衣，贴身衣
sardine,n.沙丁鱼
cancel,vt.删去，勾销，取消
tone,n.色调，光度；风气
gap,n.山口，山峡；差距
scan,n.扫描，扫掠
sift,vt.筛，过滤vi.通过
uproar,n.骚动，扰乱；喧嚣
stroll,n.散步，溜达，闲逛
choice,n.入选者a.优等的
triangular,a.三角的；三者间的
prose,n.散文
emission,n.散发；传播；发出物
tolerant,a.容忍的；有耐力的
mute,n.弱音器；闭止音
commodity,n.日用品，商品，物品
routine,a.日常的n.常规
deem,vt.认为，相信vi.想
recognition,n.认出，识别；重视
merciful,a.仁慈的，宽大的
awake,vi.认识到
undertaking,n.任务，事业；承担
identification,n.认出，鉴定；身份证
personnel,n.人事部门
pitch,n.人造树脂
hostage,n.人质，抵押品
humanity,n.人类；人性，人情
thermal,a.热的；温泉的
tropic,n.热带地区；回归线
personality,n.人格，个性；人物
tropical,a.热带的；炎热的
concession,n.让步，迁就
combustion,n.燃烧；氧化；骚动
flock,vi.群集，聚集
whisker,n.髯，连鬓胡子
conviction,n.确信，信服，深信
certainty,n.确实性，确信，确实
deficiency,n.缺乏；不足之数
quantify,vt.确定…的数量
deficient,a.缺乏的；欠缺的
positively,ad.确定的，断然
claim,n.权利，所有权
scarcity,n.缺乏，不足，萧条
late,a.去世不久的
flaw,n.缺点，瑕疵；裂隙
extract,vt.取出；榨取n.摘录
induce,vt.劝诱；引起；感应
crank,n.曲柄vi.转动曲柄
dissipate,vt.驱散；浪费vi.消散
persuasion,n.劝说，说服；主张
expel,vt.驱逐，开除；排出
spherical,a.球形的，球面的
Jupiter,n.丘庇特；木星
sight,n.情景，名胜，风景
mistress,n.情妇，情人
plea,n.请愿，请求，恳求
mosque,n.清真寺
petition,n.请愿vt.向…请愿
cleanliness,n.清洁
global,a.球面的；全球的
rap,n.轻敲击声vt.敲击
inclination,n.倾斜，点头；斜坡
rash,a.轻率的；鲁莽的
admiration,n.钦佩；赞美，羡慕
bronze,n.青铜色
slit,vt.切开n.狭长的切口
industrious,a.勤劳的，勤奋的
section,n.切下的部分
agreeable,a.惬意的；同意的
hardy,a.强壮的，耐劳的
compulsory,a.强迫的，义务的
denounce,vt.谴责，声讨；告发
segment,n.切片，部分；段，节
mighty,a.强大的；巨大的
constraint,n.强迫，结束；强制力
pious,a.虔诚的；虔奉宗教的
lobby,n.前厅，(剧院的)门廊
consistent,a.前后一致的，连贯的
thoughtless,a.欠考虑的；自私的
predecessor,n.前辈，前任者
visa,n.签证
migrate,vi.迁移，移居
gracious,a.谦和的
